block	head	mad
0	0	218.521225
0	1	240.363876
0	2	245.908127
0	3	219.786713
0	4	239.762650
0	5	124.628906
0	6	212.470062
0	7	221.281326
0	8	200.207870
0	9	218.371902
0	10	167.717484
0	11	212.787781
1	0	207.452515
1	1	211.584488
1	2	218.838348
1	3	42.124397
1	4	227.281097
1	5	184.307663
1	6	157.082596
1	7	226.130844
1	8	144.346970
1	9	44.696709
1	10	238.313080
1	11	211.796631
2	0	146.141129
2	1	39.265450
2	2	196.165390
2	3	121.951736
2	4	144.945267
2	5	196.560059
2	6	224.825104
2	7	192.361404
2	8	200.589920
2	9	35.601685
2	10	146.556976
2	11	202.234634
3	0	53.588882
3	1	172.326080
3	2	174.116608
3	3	151.460388
3	4	65.904442
3	5	74.820419
3	6	90.544029
3	7	149.307953
3	8	235.689880
3	9	242.932678
3	10	168.327133
3	11	148.214111
4	0	219.742035
4	1	134.827377
4	2	113.178040
4	3	175.535248
4	4	136.212921
4	5	91.082359
4	6	181.438156
4	7	141.838181
4	8	150.731659
4	9	210.856750
4	10	70.395470
4	11	232.968521
5	0	266.048096
5	1	109.030846
5	2	212.943909
5	3	150.387222
5	4	177.539185
5	5	224.527878
5	6	219.655106
5	7	124.813156
5	8	128.341904
5	9	107.697212
5	10	148.724487
5	11	157.799835
6	0	191.925552
6	1	138.457825
6	2	114.983643
6	3	166.110947
6	4	131.469971
6	5	124.516434
6	6	230.754776
6	7	117.092873
6	8	174.586716
6	9	182.358749
6	10	248.633224
6	11	179.736603
7	0	191.832687
7	1	174.828979
7	2	143.844604
7	3	200.758560
7	4	206.533905
7	5	144.470337
7	6	188.510071
7	7	153.553284
7	8	155.145294
7	9	190.810745
7	10	141.195114
7	11	146.149597
8	0	192.111984
8	1	203.744797
8	2	207.682388
8	3	203.199509
8	4	210.697540
8	5	192.562302
8	6	214.205826
8	7	191.984772
8	8	212.453598
8	9	221.095535
8	10	209.387283
8	11	198.673248
9	0	215.264557
9	1	221.891739
9	2	208.864868
9	3	218.104660
9	4	215.531479
9	5	212.001083
9	6	207.777145
9	7	206.916641
9	8	212.970169
9	9	215.290649
9	10	218.558182
9	11	216.732315
10	0	221.039078
10	1	219.186386
10	2	218.483719
10	3	216.662659
10	4	214.840866
10	5	218.335388
10	6	218.327011
10	7	219.171753
10	8	217.267914
10	9	216.064255
10	10	222.070999
10	11	215.007538
11	0	223.953720
11	1	224.817795
11	2	224.697433
11	3	227.472122
11	4	241.261749
11	5	224.296539
11	6	226.773071
11	7	225.492874
11	8	222.418701
11	9	227.973129
11	10	223.004684
11	11	235.303452
